Unnamed: 0,M,N,K,model_type,regularization_type,knot_density_max,knot_density_end,test_loss_end,train_loss_end,test_accuracy_end,noise_std,path
3,64,64,8,LISTA,,209.7076110839844,209.7076110839844,0.0015611092094331,0.0008435700437985,66.30859375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.01_0d6d/parameters.csv
4,64,64,8,ISTA,,955.4534301757812,955.4534301757812,0.0018982839537784,0.0019305431051179,3.02734375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.01_0d6d/parameters.csv
5,64,64,8,LISTA,,210.5605926513672,210.5605926513672,0.0020198721904307,0.0007491255528293,66.30859375,0.01,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.01_0d6d/parameters.csv
0,64,64,8,ISTA,,174.32249450683594,174.32249450683594,0.0499207377433776,0.0493982657790184,3.515625,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
1,64,64,8,LISTA,,200.7278289794922,200.7278289794922,0.0927993729710578,0.0719206929206848,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
2,64,64,8,ISTA,,170.2804412841797,170.2804412841797,0.0484988242387771,0.049986220896244,4.00390625,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
3,64,64,8,LISTA,,200.7644500732422,200.7644500732422,0.0914844796061515,0.07123564183712,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
4,64,64,8,ISTA,,184.1598358154297,184.1598358154297,0.0509615465998649,0.051161702722311,3.90625,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
5,64,64,8,LISTA,,203.8101043701172,203.8101043701172,0.0941604971885681,0.0728986412286758,0.0,0.25,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0.25_8572/parameters.csv
0,64,64,8,ISTA,,960.0142822265624,960.0142822265624,0.001586889848113,0.001577784656547,88.18359375,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
1,64,64,8,LISTA,,198.79454040527344,198.79454040527344,0.0013188370503485,0.0006666015251539,82.8125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
2,64,64,8,ISTA,,957.0997924804688,957.0997924804688,0.0015455974498763,0.0015324278501793,88.57421875,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
3,64,64,8,LISTA,,209.12472534179688,209.12472534179688,0.0013320753350853,0.00072399713099,83.203125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
4,64,64,8,ISTA,,986.0,986.0,0.0015639632474631,0.0015297026839107,86.328125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
5,64,64,8,LISTA,,189.6499481201172,189.6499481201172,0.0014682430773973,0.0007406210643239,82.8125,0.0,/ISTA---manifolds/knot_denisty_results/sweep_noise_levels/8_64_64/8_64_64_n=0_6b02/parameters.csv
